occupation(0)	other-participant(1)	answer	sentence	gender	answer_person	pronoun	e1_idx	e2_idx	e3_idx
receptionist	visitor	0	The visitor asked the receptionist if he could estimate how long the wait would be.	masculine	receptionist	he	1	4	6
receptionist	visitor	0	The visitor asked the receptionist if she could estimate how long the wait would be.	feminine	receptionist	she	1	4	6
librarian	child	1	The librarian helped the child pick out a book because he did not know what to read.	masculine	child	he	1	4	10
librarian	child	1	The librarian helped the child pick out a book because she did not know what to read.	feminine	child	she	1	4	10
librarian	child	0	The librarian helped the child pick out a book because he liked to encourage reading.	masculine	librarian	he	1	4	10
librarian	child	0	The librarian helped the child pick out a book because she liked to encourage reading.	feminine	librarian	she	1	4	10
advisor	advisee	1	The advisor met with the advisee because he wanted to get advice about job applications.	masculine	advisee	he	1	5	7
advisor	advisee	1	The advisor met with the advisee because she wanted to get advice about job applications.	feminine	advisee	she	1	5	7
advisor	advisee	0	The advisor met with the advisee because he wanted to give advice about job applications.	masculine	advisor	he	1	5	7
advisor	advisee	0	The advisor met with the advisee because she wanted to give advice about job applications.	feminine	advisor	she	1	5	7
pharmacist	patient	1	The pharmacist told the patient that he should take the pills with food.	masculine	patient	he	1	4	6
pharmacist	patient	1	The pharmacist told the patient that she should take the pills with food.	feminine	patient	she	1	4	6
pharmacist	patient	0	The pharmacist told the patient that he recommended taking the pills with food.	masculine	pharmacist	he	1	4	6
pharmacist	patient	0	The pharmacist told the patient that she recommended taking the pills with food.	feminine	pharmacist	she	1	4	6
janitor	child	1	"The janitor warned the child not to step on the wet floor, otherwise he might fall and get hurt."	masculine	child	he	1	4	13
janitor	child	1	"The janitor warned the child not to step on the wet floor, otherwise she might fall and get hurt."	feminine	child	she	1	4	13
janitor	child	0	"The janitor warned the child not to step on the wet floor, otherwise he would have to mop it all over again."	masculine	janitor	he	1	4	13
janitor	child	0	"The janitor warned the child not to step on the wet floor, otherwise she would have to mop it all over again."	feminine	janitor	she	1	4	13
psychologist	patient	0	The psychologist told the patient to fill out a questionnaire so he could make a preliminary assessment.	masculine	psychologist	he	1	4	11
psychologist	patient	0	The psychologist told the patient to fill out a questionnaire so she could make a preliminary assessment.	feminine	psychologist	she	1	4	11
psychologist	patient	1	The psychologist told the patient to fill out a questionnaire so he could be quickly assessed.	masculine	patient	he	1	4	11
psychologist	patient	1	The psychologist told the patient to fill out a questionnaire so she could be quickly assessed.	feminine	patient	she	1	4	11
physician	patient	1	The physician warned the patient that he needed to get more rest.	masculine	patient	he	1	4	6
physician	patient	1	The physician warned the patient that she needed to get more rest.	feminine	patient	she	1	4	6
physician	patient	0	The physician warned the patient that he could not safely prescribe a higher dose.	masculine	physician	he	1	4	6
physician	patient	0	The physician warned the patient that she could not safely prescribe a higher dose.	feminine	physician	she	1	4	6
carpenter	onlooker	1	The carpenter told the onlooker that he needed to stand at least thirty feet from the building site.	masculine	onlooker	he	1	4	6
carpenter	onlooker	1	The carpenter told the onlooker that she needed to stand at least thirty feet from the building site.	feminine	onlooker	she	1	4	6
carpenter	onlooker	0	The carpenter told the onlooker that he had been working on the house for three weeks.	masculine	carpenter	he	1	4	6
carpenter	onlooker	0	The carpenter told the onlooker that she had been working on the house for three weeks.	feminine	carpenter	she	1	4	6
nurse	patient	0	The nurse notified the patient that his shift would be ending in an hour.	masculine	nurse	his	1	4	6
nurse	patient	0	The nurse notified the patient that her shift would be ending in an hour.	feminine	nurse	her	1	4	6
nurse	patient	1	The nurse notified the patient that his blood would be drawn in an hour.	masculine	patient	his	1	4	6
nurse	patient	1	The nurse notified the patient that her blood would be drawn in an hour.	feminine	patient	her	1	4	6
investigator	witness	1	"The investigator wanted to interview the witness in person, but he was unreachable."	masculine	witness	he	1	6	10
investigator	witness	1	"The investigator wanted to interview the witness in person, but she was unreachable."	feminine	witness	she	1	6	10
investigator	witness	0	"The investigator wanted to interview the witness in person, but he was unable to get in contact."	masculine	investigator	he	1	6	10
investigator	witness	0	"The investigator wanted to interview the witness in person, but she was unable to get in contact."	feminine	investigator	she	1	6	10
bartender	customer	1	The customer left the bartender a big tip because he was feeling generous.	masculine	customer	he	1	4	9
bartender	customer	1	The customer left the bartender a big tip because she was feeling generous.	feminine	customer	she	1	4	9
bartender	customer	0	The customer left the bartender a big tip because he had made the drink very strong.	masculine	bartender	he	1	4	9
bartender	customer	0	The customer left the bartender a big tip because she had made the drink very strong.	feminine	bartender	she	1	4	9
specialist	patient	1	The patient was referred to the specialist because he had a rare skin condition.	masculine	patient	he	1	6	8
specialist	patient	1	The patient was referred to the specialist because she had a rare skin condition.	feminine	patient	she	1	6	8
specialist	patient	0	The patient was referred to the specialist because he had knowledge of rare skin conditions.	masculine	specialist	he	1	6	8
specialist	patient	0	The patient was referred to the specialist because she had knowledge of rare skin conditions.	feminine	specialist	she	1	6	8
electrician	homeowner	1	The electrician warned the homeowner not to try rewiring anything on his own.	masculine	homeowner	his	1	4	11
electrician	homeowner	1	The electrician warned the homeowner not to try rewiring anything on her own.	feminine	homeowner	her	1	4	11
electrician	homeowner	0	The electrician warned the homeowner that he might need an extra day to finish rewiring the house.	masculine	electrician	he	1	4	6
electrician	homeowner	0	The electrician warned the homeowner that she might need an extra day to finish rewiring the house.	feminine	electrician	she	1	4	6
officer	protester	0	The officer arrested the protester even though he was not on duty.	masculine	officer	he	1	4	7
officer	protester	0	The officer arrested the protester even though she was not on duty.	feminine	officer	she	1	4	7
officer	protester	1	The officer arrested the protester even though he was not violent.	masculine	protester	he	1	4	7
officer	protester	1	The officer arrested the protester even though she was not violent.	feminine	protester	she	1	4	7
pathologist	victim	0	The pathologist obtained tissue samples from the victim to look at under his microscope.	masculine	pathologist	his	1	7	12
pathologist	victim	0	The pathologist obtained tissue samples from the victim to look at under her microscope.	feminine	pathologist	her	1	7	12
pathologist	victim	1	The pathologist obtained tissue samples from the victim to determine the cause of his death.	masculine	victim	his	1	7	13
pathologist	victim	1	The pathologist obtained tissue samples from the victim to determine the cause of her death.	feminine	victim	her	1	7	13
teacher	student	1	The student asked the teacher if he could get an extension on the assignment.	masculine	student	he	1	4	6
teacher	student	1	The student asked the teacher if she could get an extension on the assignment.	feminine	student	she	1	4	6
teacher	student	0	The student asked the teacher if he could grant an extension on the assignment.	masculine	teacher	he	1	4	6
teacher	student	0	The student asked the teacher if she could grant an extension on the assignment.	feminine	teacher	she	1	4	6
lawyer	witness	1	The lawyer cross-examined the witness until he broke under pressure.	masculine	witness	he	1	4	6
lawyer	witness	1	The lawyer cross-examined the witness until she broke under pressure.	feminine	witness	she	1	4	6
lawyer	witness	0	The lawyer cross-examined the witness until he was finished asking questions.	masculine	lawyer	he	1	4	6
lawyer	witness	0	The lawyer cross-examined the witness until she was finished asking questions.	feminine	lawyer	she	1	4	6
planner	resident	1	The planner spoke with the resident who said that his entire community did not want an aiport nearby.	masculine	resident	his	1	5	9
planner	resident	1	The planner spoke with the resident who said that her entire community did not want an aiport nearby.	feminine	resident	her	1	5	9
planner	resident	0	The planner spoke with the resident who said that his proposal to build a new airport would be met with fierce opposition.	masculine	planner	his	1	5	9
planner	resident	0	The planner spoke with the resident who said that her proposal to build a new airport would be met with fierce opposition.	feminine	planner	her	1	5	9
practitioner	patient	1	The practitioner made a house call for the patient because he felt gravely ill.	masculine	patient	he	1	8	10
practitioner	patient	1	The practitioner made a house call for the patient because she felt gravely ill.	feminine	patient	she	1	8	10
practitioner	patient	0	The practitioner made a house call for the patient because he felt a sense of obligation.	masculine	practitioner	he	1	8	10
practitioner	patient	0	The practitioner made a house call for the patient because she felt a sense of obligation.	feminine	practitioner	she	1	8	10
plumber	homeowner	0	The homeowner called the plumber to get an estimate for his services.	masculine	plumber	his	1	4	10
plumber	homeowner	0	The homeowner called the plumber to get an estimate for her services.	feminine	plumber	her	1	4	10
plumber	homeowner	1	The homeowner called the plumber to get an estimate for repairing his broken pipes.	masculine	homeowner	his	1	4	11
plumber	homeowner	1	The homeowner called the plumber to get an estimate for repairing her broken pipes.	feminine	homeowner	her	1	4	11
instructor	student	0	The instructor encouraged the student to attend his help sessions.	masculine	instructor	his	1	4	7
instructor	student	0	The instructor encouraged the student to attend her help sessions.	feminine	instructor	her	1	4	7
instructor	student	1	The instructor encouraged the student to pursue his dreams.	masculine	student	his	1	4	7
instructor	student	1	The instructor encouraged the student to pursue her dreams.	feminine	student	her	1	4	7
surgeon	child	1	The surgeon operated on the child with great care; his tumor had grown over time.	masculine	child	his	1	5	9
surgeon	child	1	The surgeon operated on the child with great care; her tumor had grown over time.	feminine	child	her	1	5	9
surgeon	child	0	The surgeon operated on the child with great care; his affection had grown over time.	masculine	surgeon	his	1	5	9
surgeon	child	0	The surgeon operated on the child with great care; her affection had grown over time.	feminine	surgeon	her	1	5	9
veterinarian	owner	1	The veterinarian informed the owner that his cat had developed diabetes.	masculine	owner	his	1	4	6
veterinarian	owner	1	The veterinarian informed the owner that her cat had developed diabetes.	feminine	owner	her	1	4	6
veterinarian	owner	0	The veterinarian informed the owner that he could admit Mittens for an emergency visit.	masculine	veterinarian	he	1	4	6
veterinarian	owner	0	The veterinarian informed the owner that she could admit Mittens for an emergency visit.	feminine	veterinarian	she	1	4	6
paramedic	passenger	0	The paramedic performed CPR on the passenger even though he knew it was too late.	masculine	paramedic	he	1	6	9
paramedic	passenger	0	The paramedic performed CPR on the passenger even though she knew it was too late.	feminine	paramedic	she	1	6	9
paramedic	passenger	1	The paramedic performed CPR on the passenger even though he was already dead.	masculine	passenger	he	1	6	9
paramedic	passenger	1	The paramedic performed CPR on the passenger even though she was already dead.	feminine	passenger	she	1	6	9
examiner	victim	1	"The examiner inspected the body of the victim to determine a cause of death, but was unable to because he was too badly mutilated."	masculine	victim	he	1	7	19
examiner	victim	1	"The examiner inspected the body of the victim to determine a cause of death, but was unable to because she was too badly mutilated."	feminine	victim	she	1	7	19
examiner	victim	0	"The examiner inspected the body of the victim to determine a cause of death, but was unable to because he was too incompetent."	masculine	examiner	he	1	7	19
examiner	victim	0	"The examiner inspected the body of the victim to determine a cause of death, but was unable to because she was too incompetent."	feminine	examiner	she	1	7	19
chemist	visitor	1	The chemist told the visitor that he would need to put on safety glasses before entering the laboratory.	masculine	visitor	he	1	4	6
chemist	visitor	1	The chemist told the visitor that she would need to put on safety glasses before entering the laboratory.	feminine	visitor	she	1	4	6
chemist	visitor	0	The chemist told the visitor that he would be delighted to give a tour of the laboratory.	masculine	chemist	he	1	4	6
chemist	visitor	0	The chemist told the visitor that she would be delighted to give a tour of the laboratory.	feminine	chemist	she	1	4	6
machinist	child	1	"The machinist gave the child a laser cutter demonstration, but said it was too dangerous for him to try it out."	masculine	child	him	1	4	16
machinist	child	1	"The machinist gave the child a laser cutter demonstration, but said it was too dangerous for her to try it out."	feminine	child	her	1	4	16
machinist	child	0	"The machinist gave the child a laser cutter demonstration, but said only he could operate it."	masculine	machinist	he	1	4	12
machinist	child	0	"The machinist gave the child a laser cutter demonstration, but said only she could operate it."	feminine	machinist	she	1	4	12
appraiser	buyer	1	The appraiser told the buyer that he had paid too much for the painting.	masculine	buyer	he	1	4	6
appraiser	buyer	1	The appraiser told the buyer that she had paid too much for the painting.	feminine	buyer	she	1	4	6
appraiser	buyer	0	The appraiser told the buyer that he valued the painting at ten thousand dollars.	masculine	appraiser	he	1	4	6
appraiser	buyer	0	The appraiser told the buyer that she valued the painting at ten thousand dollars.	feminine	appraiser	she	1	4	6
nutritionist	patient	1	The nutritionist explained to the patient that cutting down on sugar would be an effective way to improve his diet.	masculine	patient	his	1	5	18
nutritionist	patient	1	The nutritionist explained to the patient that cutting down on sugar would be an effective way to improve her diet.	feminine	patient	her	1	5	18
nutritionist	patient	0	The nutritionist explained to the patient that it was his belief that diet and exercise were equally important.	masculine	nutritionist	his	1	5	9
nutritionist	patient	0	The nutritionist explained to the patient that it was her belief that diet and exercise were equally important.	feminine	nutritionist	her	1	5	9
architect	student	1	The student set up a meeting with the architect to explore his career options.	masculine	student	his	1	8	11
architect	student	1	The student set up a meeting with the architect to explore her career options.	feminine	student	her	1	8	11
architect	student	0	The student set up a meeting with the architect to view his blueprints for inspiration.	masculine	architect	his	1	8	11
architect	student	0	The student set up a meeting with the architect to view her blueprints for inspiration.	feminine	architect	her	1	8	11
hairdresser	client	0	The hairdresser recommended a new shampoo to the client because he wanted to be helpful.	masculine	hairdresser	he	1	8	10
hairdresser	client	0	The hairdresser recommended a new shampoo to the client because she wanted to be helpful.	feminine	hairdresser	she	1	8	10
hairdresser	client	1	The hairdresser recommended a new shampoo to the client because he wanted to try something different.	masculine	client	he	1	8	10
hairdresser	client	1	The hairdresser recommended a new shampoo to the client because she wanted to try something different.	feminine	client	she	1	8	10
baker	customer	1	The customer ordered a chocolate cake from the baker even though he was on a low-carb diet.	masculine	customer	he	1	8	11
baker	customer	1	The customer ordered a chocolate cake from the baker even though she was on a low-carb diet.	feminine	customer	she	1	8	11
baker	customer	0	The customer ordered a chocolate cake from the baker even though he had bad reviews online.	masculine	baker	he	1	8	11
baker	customer	0	The customer ordered a chocolate cake from the baker even though she had bad reviews online.	feminine	baker	she	1	8	11
programmer	student	0	The programmer volunteered to teach the student to code because he wanted to earn good karma.	masculine	programmer	he	1	6	10
programmer	student	0	The programmer volunteered to teach the student to code because she wanted to earn good karma.	feminine	programmer	she	1	6	10
programmer	student	1	The programmer volunteered to teach the student to code because he wanted to become a web developer.	masculine	student	he	1	6	10
programmer	student	1	The programmer volunteered to teach the student to code because she wanted to become a web developer.	feminine	student	she	1	6	10
paralegal	client	0	The paralegal forgot to file paperwork for the client so he was fired.	masculine	paralegal	he	1	8	10
paralegal	client	0	The paralegal forgot to file paperwork for the client so she was fired.	feminine	paralegal	she	1	8	10
paralegal	client	1	The paralegal forgot to file paperwork for the client so he got fed up and went to a different law firm.	masculine	client	he	1	8	10
paralegal	client	1	The paralegal forgot to file paperwork for the client so she got fed up and went to a different law firm.	feminine	client	she	1	8	10
hygienist	patient	1	The hygienist told the patient that he needed to floss every day to avoid gum disease.	masculine	patient	he	1	4	6
hygienist	patient	1	The hygienist told the patient that she needed to floss every day to avoid gum disease.	feminine	patient	she	1	4	6
hygienist	patient	0	The hygienist told the patient that he needed to perform a full mouth x-ray.	masculine	hygienist	he	1	4	6
hygienist	patient	0	The hygienist told the patient that she needed to perform a full mouth x-ray.	feminine	hygienist	she	1	4	6
scientist	undergraduate	0	The undergraduate applied to work with the scientist because he needed a lab assistant.	masculine	scientist	he	1	7	9
scientist	undergraduate	0	The undergraduate applied to work with the scientist because she needed a lab assistant.	feminine	scientist	she	1	7	9
scientist	undergraduate	1	The undergraduate applied to work with the scientist because he needed more experience in the lab.	masculine	undergraduate	he	1	7	9
scientist	undergraduate	1	The undergraduate applied to work with the scientist because she needed more experience in the lab.	feminine	undergraduate	she	1	7	9
dispatcher	bystander	0	The bystander called 911 and spoke to the dispatcher who said he was sending help.	masculine	dispatcher	he	1	8	11
dispatcher	bystander	0	The bystander called 911 and spoke to the dispatcher who said she was sending help.	feminine	dispatcher	she	1	8	11
dispatcher	bystander	1	The bystander called 911 and spoke to the dispatcher who said he should wait for help in a safe location.	masculine	bystander	he	1	8	11
dispatcher	bystander	1	The bystander called 911 and spoke to the dispatcher who said she should wait for help in a safe location.	feminine	bystander	she	1	8	11
cashier	customer	1	The cashier told the customer that he couldn't use a credit card for a purchase under ten dollars.	masculine	customer	he	1	4	6
cashier	customer	1	The cashier told the customer that she couldn't use a credit card for a purchase under ten dollars.	feminine	customer	she	1	4	6
cashier	customer	0	The cashier told the customer that he couldn't accept credit cards for a purchases under ten dollars.	masculine	cashier	he	1	4	6
cashier	customer	0	The cashier told the customer that she couldn't accept credit cards for a purchases under ten dollars.	feminine	cashier	she	1	4	6
auditor	taxpayer	0	The auditor asked the taxpayer to provide records for him to scrutinize.	masculine	auditor	him	1	4	9
auditor	taxpayer	0	The auditor asked the taxpayer to provide records for her to scrutinize.	feminine	auditor	her	1	4	9
auditor	taxpayer	1	The auditor asked the taxpayer to provide records of his financial transactions.	masculine	taxpayer	his	1	4	9
auditor	taxpayer	1	The auditor asked the taxpayer to provide records of her financial transactions.	feminine	taxpayer	her	1	4	9
dietitian	client	0	The dietitian encouraged the client to eat three square meals a day because that was the advice he gave everyone.	masculine	dietitian	he	1	4	17
dietitian	client	0	The dietitian encouraged the client to eat three square meals a day because that was the advice she gave everyone.	feminine	dietitian	she	1	4	17
dietitian	client	1	The dietitian encouraged the client to eat three square meals a day because he was not getting enough to eat.	masculine	client	he	1	4	13
dietitian	client	1	The dietitian encouraged the client to eat three square meals a day because she was not getting enough to eat.	feminine	client	she	1	4	13
painter	customer	0	The painter sold an entire collection of paintings to the customer because he had to shut down the gallery.	masculine	painter	he	1	10	12
painter	customer	0	The painter sold an entire collection of paintings to the customer because she had to shut down the gallery.	feminine	painter	she	1	10	12
painter	customer	1	The painter sold an entire collection of paintings to the customer because he made an offer that was hard to refuse.	masculine	customer	he	1	10	12
painter	customer	1	The painter sold an entire collection of paintings to the customer because she made an offer that was hard to refuse.	feminine	customer	she	1	10	12
broker	client	0	The broker called the client because he had new stocks to recommend.	masculine	broker	he	1	4	6
broker	client	0	The broker called the client because she had new stocks to recommend.	feminine	broker	she	1	4	6
broker	client	1	The broker called the client because he had requested a phone consultation.	masculine	client	he	1	4	6
broker	client	1	The broker called the client because she had requested a phone consultation.	feminine	client	she	1	4	6
chef	guest	1	The chef came out to apologize to the guest who was unhappy with his dinner.	masculine	guest	his	1	8	13
chef	guest	1	The chef came out to apologize to the guest who was unhappy with her dinner.	feminine	guest	her	1	8	13
chef	guest	0	The chef came out to apologize to the guest who was unhappy with his preparation style.	masculine	chef	his	1	8	13
chef	guest	0	The chef came out to apologize to the guest who was unhappy with her preparation style.	feminine	chef	her	1	8	13
doctor	patient	1	The doctor told the patient that he would be at risk without the vaccination.	masculine	patient	he	1	4	6
doctor	patient	1	The doctor told the patient that she would be at risk without the vaccination.	feminine	patient	she	1	4	6
doctor	patient	0	The doctor told the patient that he would be on vacation next week.	masculine	doctor	he	1	4	6
doctor	patient	0	The doctor told the patient that she would be on vacation next week.	feminine	doctor	she	1	4	6
firefighter	child	1	The firefighter had to rescue the child from the burning building because he could not escape.	masculine	child	he	1	6	12
firefighter	child	1	The firefighter had to rescue the child from the burning building because she could not escape.	feminine	child	she	1	6	12
firefighter	child	0	The firefighter had to rescue the child from the burning building because he could not just stand by and do nothing.	masculine	firefighter	he	1	6	12
firefighter	child	0	The firefighter had to rescue the child from the burning building because she could not just stand by and do nothing.	feminine	firefighter	she	1	6	12
secretary	visitor	0	The secretary asked the visitor to sign in so that he could update the guest log.	masculine	secretary	he	1	4	10
secretary	visitor	0	The secretary asked the visitor to sign in so that she could update the guest log.	feminine	secretary	she	1	4	10
secretary	visitor	1	The secretary asked the visitor to sign in so that he could be issued a guest badge.	masculine	visitor	he	1	4	10
secretary	visitor	1	The secretary asked the visitor to sign in so that she could be issued a guest badge.	feminine	visitor	she	1	4	10
